image_url,scientific_name,common_name
http://static.inaturalist.org/photos/40815/medium.jpg,Ocimum basilicum,Sweet basil
http://static.inaturalist.org/photos/48281/medium.jpg,Ocimum basilicum,Sweet basil
http://static.inaturalist.org/photos/508258/medium.JPG,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/553547/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/635656/medium.JPG,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/700412/medium.JPG,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/901655/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/1283508/medium.jpg,Ocimum basilicum,Sweet basil
http://static.inaturalist.org/photos/1484480/medium.jpg,Ocimum basilicum,Sweet basil
http://static.inaturalist.org/photos/1921790/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/1972838/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2217077/medium.JPG,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2220325/medium.JPG,Ocimum basilicum,Sweet basil
http://static.inaturalist.org/photos/2384797/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2395209/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2399976/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2420898/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2463092/medium.jpg,Ocimum basilicum,Sweet basil
https://static.inaturalist.org/photos/2496798/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2526209/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2542385/medium.JPG,Ocimum basilicum,Sweet basil
http://static.inaturalist.org/photos/2589524/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2604607/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2626319/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/2633186/medium.jpg,Ocimum basilicum,Sweet basil
http://static.inaturalist.org/photos/2709343/medium.JPG,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/3269676/medium.jpg,Ocimum basilicum,Sweet basil
https://inaturalist-open-data.s3.amazonaws.com/photos/3524721/medium.jpg,Ocimum basilicum,Sweet basil
